key,code,title,abstract-string,indication,cost,link,key:manager
project-01,ABC-1234,Task Management Tool Integration,Effectively integrate task management tools for better workflow coordination,true,10,http://www.example.com,manager-01
project-02,ABC-1111,b,Effectively integrate task management tools for better workflow coordination,true,10,http://www.example.com,manager-01
project-03,ABC-2222,abc,Effectively integrate task management tools for better workflow coordination,true,10,http://www.example.com,manager-01
project-04,ABC-3333,Lorem ipsum dolor sit amet consectetur,Effectively integrate task management tools for better workflow coordination,true,10,http://www.example.com,manager-01
project-05,ABC-4444,Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed vestibulum.,Effectively integrate task management tools for better workflow coordination,true,10,http://www.example.com,manager-01
project-06,ABC-5555,你好สวัสดีHola안녕こんにちはHelloпривет你好สวัสดีHola안녕こんにちはHelloприветт你好สวัสดีHola안녕,Effectively integrate task management tools for better workflow coordination,true,10,http://www.example.com,manager-01
project-07,ABC-6666,Task Management Tool Integration,a,true,10,http://www.example.com,manager-01
project-08,ABC-7777,Task Management Tool Integration,abc,true,10,http://www.example.com,manager-01
project-09,ABC-8888,Task Management Tool Integration,Helloпривет你好สวัสดีHola안녕こんにちはHelloприветт你好สวัสดี,true,10,http://www.example.com,manager-01
project-10,ABC-9999,Task Management Tool Integration,sit amet consectetur adipiscing elit ut aliquam purus sit amet luctus venenatis lectus magna fring,true,10,http://www.example.com,manager-01
project-11,XYZ-1111,Task Management Tool Integration,sit amet consectetur adipiscing elit ut aliquam purus sit amet luctus venenatis lectus magna fringas,true,10,http://www.example.com,manager-01
project-12,XYZ-2222,Task Management Tool Integration,Effectively integrate task management tools for better workflow coordination,true,0,http://www.example.com,manager-01
project-13,XYZ-3333,Task Management Tool Integration,Effectively integrate task management tools for better workflow coordination,true,2,http://www.example.com,manager-01
project-14,XYZ-4444,Task Management Tool Integration,Effectively integrate task management tools for better workflow coordination,true,5000,http://www.example.com,manager-01
project-15,XYZ-5555,Task Management Tool Integration,Effectively integrate task management tools for better workflow coordination,true,2147483640,http://www.example.com,manager-01
project-16,XYZ-6666,Task Management Tool Integration,Effectively integrate task management tools for better workflow coordination,true,2147483647,http://www.example.com,manager-01
project-17,XYZ-7777,Task Management Tool Integration,Effectively integrate task management tools for better workflow coordination,true,10,null,manager-01
project-18,XYZ-8888,Task Management Tool Integration,Effectively integrate task management tools for better workflow coordination,true,10,https://www.a.com,manager-01
project-19,XYZ-9999,Task Management Tool Integration,Effectively integrate task management tools for better workflow coordination,true,10,http://www.example.es,manager-01
project-20,XYZ-1000,Task Management Tool Integration,Effectively integrate task management tools for better workflow coordination,true,10,http://www.example.com,manager-02
